"","year","month","day","districts","no.of.dist","District","Count","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"227",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"228",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"229",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"230",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"231",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"232",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"233",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"234",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"235",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"236",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"237",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"238",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"239",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"240",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"241",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"242",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"243",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"244",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"245",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"246",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"247",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"248",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"249",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"250",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"251",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"252",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"253",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"254",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
